Site_Name,NGP_lat,NGP_lon,netCDF_lat,netCDF_lon,lat,lon,aero_net_distance
Teide,473,653,28.375,-16.625,28.27,-16.639,0.10592922165295122
Sioux_Falls,534,333,43.625,-96.625,43.736481,-96.625991,0.1114854046142341
Walker_Branch,503,382,35.875,-84.375,35.958333,-84.2875,0.12083310344852329
Niabrara,531,319,42.875,-100.125,42.764833,-100.02,0.15218990731648463
Egbert,536,400,44.125,-79.875,44.231543,-79.781414,0.14180885108130875
Ispra,543,754,45.875,8.625,45.80305,8.6267,0.0719700805890903
Mainz,559,753,49.875,8.375,49.999,8.3,0.14491721774861838
Ben_McDhui,237,830,-30.625,27.625,-30.710833,27.6175,0.08616004810235521
Brookhaven,523,428,40.875,-72.875,40.866,-72.8847,0.013232157798330256
Saturn_Island,555,227,48.875,-123.125,48.775252,-123.128177,0.09979858131756981
Latoya,297,813,-15.625,23.375,-15.678133,23.299883,0.09200912660165782
Kaashidhoo,379,1013,4.875,73.375,4.965,73.466,0.1279882807135047
Surinam,383,499,5.875,-55.125,5.8,-55.2,0.10606601717798426
Oyster,509,416,37.375,-75.875,37.295044,-75.933192,0.09889019567177057
NCU_Taiwan,459,1204,24.875,121.125,24.967662,121.187508,0.11177430969591974
Ilorin,393,738,8.375,4.625,8.4841,4.6745,0.11980425701952313
Concepcion,295,471,-16.125,-62.125,-16.138167,-62.028,0.0978895800838896
Dongsha_Island,442,1186,20.625,116.625,20.698556,116.728833,0.12724691361679016
Chao_Jou,450,1202,22.625,120.625,22.513056,120.529167,0.14736153848613298
